timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1779290956236,586,Request,200,OK,Stress Testing 1-1,text,true,,231,158,2,2,http://localhost:8080/?token=497019606&user=-1356144809&config=3,579,0,11
1779290956711,550,Request,200,OK,Stress Testing 1-2,text,true,,231,158,2,2,http://localhost:8080/?token=497019606&user=-1356144809&config=3,550,0,0
1779290957313,552,Request,200,OK,Stress Testing 1-3,text,true,,231,158,3,3,http://localhost:8080/?token=497019606&user=-1356144809&config=3,552,0,1
1779290957917,553,Request,200,OK,Stress Testing 1-4,text,true,,231,158,4,4,http://localhost:8080/?token=497019606&user=-1356144809&config=3,553,0,0
1779290958516,552,Request,200,OK,Stress Testing 1-5,text,true,,231,158,5,5,http://localhost:8080/?token=497019606&user=-1356144809&config=3,552,0,2
1779290959115,609,Request,200,OK,Stress Testing 1-6,text,true,,231,158,7,7,http://localhost:8080/?token=497019606&user=-1356144809&config=3,609,0,1
1779290959188,551,Request,200,OK,Stress Testing 1-1,text,true,,231,158,7,7,http://localhost:8080/?token=497019606&user=-1356144809&config=3,551,0,0
1779290959713,559,Request,200,OK,Stress Testing 1-2,text,true,,231,158,7,7,http://localhost:8080/?token=497019606&user=-1356144809&config=3,559,0,0
1779290959715,575,Request,200,OK,Stress Testing 1-7,text,true,,231,158,7,7,http://localhost:8080/?token=497019606&user=-1356144809&config=3,574,0,1
1779290960314,572,Request,200,OK,Stress Testing 1-3,text,true,,231,158,8,8,http://localhost:8080/?token=497019606&user=-1356144809&config=3,572,0,0
1779290960316,589,Request,200,OK,Stress Testing 1-8,text,true,,231,158,8,8,http://localhost:8080/?token=497019606&user=-1356144809&config=3,589,0,1
1779290960921,530,Request,200,OK,Stress Testing 1-4,text,true,,231,158,9,9,http://localhost:8080/?token=497019606&user=-1356144809&config=3,530,0,0
1779290960914,557,Request,200,OK,Stress Testing 1-9,text,true,,231,158,9,9,http://localhost:8080/?token=497019606&user=-1356144809&config=3,556,0,1
1779290961520,534,Request,200,OK,Stress Testing 1-5,text,true,,231,158,10,10,http://localhost:8080/?token=497019606&user=-1356144809&config=3,534,0,0
1779290961514,561,Request,200,OK,Stress Testing 1-10,text,true,,231,158,10,10,http://localhost:8080/?token=497019606&user=-1356144809&config=3,561,0,1
1779290962120,537,Request,200,OK,Stress Testing 1-6,text,true,,231,158,11,11,http://localhost:8080/?token=497019606&user=-1356144809&config=3,537,0,0
1779290962114,563,Request,200,OK,Stress Testing 1-11,text,true,,231,158,11,11,http://localhost:8080/?token=497019606&user=-1356144809&config=3,563,0,1
